Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,stateTime,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,11,15,46,51,999,0.68064,0,0,0.680699,7.46593,17.6745,0.00084036,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,020,0.701327,0,0,0.701406,7.45926,17.6777,0.000852547,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,039,0.720544,0,0,0.720626,7.45926,17.6777,0.000852547,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,060,0.740552,0,0,0.740985,7.45485,17.678,0.000799418,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,079,0.760582,0,0,0.760647,7.45485,17.678,0.000799418,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,099,0.780626,0,0,0.780709,7.45485,17.678,0.000799418,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,119,0.800538,0,0,0.800619,7.45416,17.6746,0.000769693,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,139,0.820543,0,0,0.82062,7.45257,17.6702,0.000776113,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,159,0.840543,0,0,0.840611,7.45257,17.6702,0.000776113,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,179,0.860546,0,0,0.860622,7.44828,17.6646,0.000766175,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,199,0.880539,0,0,0.880631,7.44828,17.6646,0.000766175,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,219,0.900541,0,0,0.900613,7.43351,17.6643,0.000740314,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,239,0.920494,0,0,0.920561,7.43351,17.6643,0.000740314,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,259,0.940547,0,0,0.940618,7.43351,17.6643,0.000740314,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,279,0.960542,0,0,0.960597,7.42263,17.6615,0.000733788,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
