Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,pos.x,pos.y,pos.z,eulerAngle.x,eulerAngle.y,eulerAngle.z,trackTime,desiredPoint.x,desiredPoint.y,desiredPoint.z
2024,01,14,15,15,11,248,1.04904e-05,0,8.15848,0.715253,0,-0.0572685,0.0212275,0.781493,1.39067e-309,0,0,0
2024,01,14,15,15,11,249,0.000925779,0,8.15848,0.715253,0,-0.0572685,0.0212275,0.781493,1.39067e-309,0,0,0
2024,01,14,15,15,11,269,0.0209882,0,8.15848,0.715253,0,-0.0572685,0.0212275,0.781493,1.39067e-309,0,0,0
2024,01,14,15,15,11,289,0.0409944,0,8.16008,0.714449,0,-0.0569716,0.0204651,0.781775,1.39067e-309,0,0,0
2024,01,14,15,15,11,309,0.0609961,0,8.16165,0.713256,0,-0.056687,0.0198128,0.781953,1.39067e-309,0,0,0
2024,01,14,15,15,11,329,0.0809903,0,8.16324,0.712219,0,-0.0563931,0.0193956,0.781729,1.39067e-309,0,0,0
2024,01,14,15,15,11,349,0.100994,0,8.16503,0.710736,0,-0.0562803,0.0189775,0.781421,1.39067e-309,0,0,0
2024,01,14,15,15,11,369,0.120996,0,8.16683,0.709365,0,-0.0555786,0.0177083,0.781284,1.39067e-309,0,0,0
2024,01,14,15,15,11,390,0.141802,0,8.16853,0.708307,0,-0.0519249,0.0126484,0.78026,1.39067e-309,0,0,0
2024,01,14,15,15,11,409,0.161,0,8.17019,0.707512,0,-0.044757,0.00395683,0.778644,1.39067e-309,0,0,0
2024,01,14,15,15,11,430,0.181034,0,8.17179,0.706853,0,-0.0341083,-0.00779762,0.776339,1.39067e-309,0,0,0
2024,01,14,15,15,11,449,0.200967,0,8.17356,0.706417,0,-0.0221122,-0.0197856,0.774603,1.39067e-309,0,0,0
2024,01,14,15,15,11,469,0.220996,0,8.17528,0.706157,0,-0.010915,-0.0299492,0.773735,1.39067e-309,0,0,0
2024,01,14,15,15,11,490,0.241683,0,8.17704,0.705831,0,-0.00632802,-0.0341702,0.773627,1.39067e-309,0,0,0
2024,01,14,15,15,11,509,0.260994,0,8.1789,0.705193,0,0.00067433,-0.0384733,0.775672,1.39067e-309,0,0,0
2024,01,14,15,15,11,529,0.280995,0,8.18064,0.704319,0,-8.18048e-05,-0.0334376,0.777224,1.39067e-309,0,0,0
2024,01,14,15,15,11,549,0.300994,0,8.1822,0.703516,0,-0.00310506,-0.0244803,0.778101,1.39067e-309,0,0,0
2024,01,14,15,15,11,569,0.320989,0,8.1837,0.702238,0,-0.00730615,-0.0152017,0.778829,1.39067e-309,0,0,0
2024,01,14,15,15,11,589,0.341014,0,8.18518,0.700328,0,-0.011959,-0.00893944,0.779516,1.39067e-309,0,0,0
2024,01,14,15,15,11,609,0.361003,0,8.1868,0.697943,0,-0.0169728,-0.00507493,0.780545,1.39067e-309,0,0,0
2024,01,14,15,15,11,629,0.380996,0,8.18839,0.695321,0,-0.0222582,-0.00117478,0.781466,1.39067e-309,0,0,0
2024,01,14,15,15,11,649,0.400996,0,8.19049,0.692279,0,-0.0276775,0.00340011,0.782223,1.39067e-309,0,0,0
2024,01,14,15,15,11,669,0.421004,0,8.19266,0.689124,0,-0.0329978,0.00767458,0.782936,1.39067e-309,0,0,0
2024,01,14,15,15,11,689,0.440994,0,8.19484,0.686153,0,-0.0377475,0.010231,0.783662,1.39067e-309,0,0,0
2024,01,14,15,15,11,710,0.461,0,8.19704,0.683456,0,-0.0415273,0.0114778,0.784204,1.39067e-309,0,0,0
2024,01,14,15,15,11,729,0.481011,0,8.19924,0.680666,0,-0.0445603,0.0124691,0.784546,1.39067e-309,0,0,0
2024,01,14,15,15,11,750,0.50166,0,8.20135,0.678173,0,-0.0472036,0.0136756,0.784739,1.39067e-309,0,0,0
2024,01,14,15,15,11,770,0.521694,0,8.20347,0.675679,0,-0.0495411,0.0150677,0.784965,1.39067e-309,0,0,0
2024,01,14,15,15,11,789,0.540992,0,8.20573,0.673575,0,-0.0509913,0.0154635,0.785072,1.39067e-309,0,0,0
2024,01,14,15,15,11,810,0.560993,0,8.20818,0.672273,0,-0.0516764,0.0152026,0.785178,1.39067e-309,0,0,0
2024,01,14,15,15,11,829,0.580989,0,8.21057,0.670656,0,-0.0522754,0.0151978,0.78517,1.39067e-309,0,0,0
2024,01,14,15,15,11,849,0.601002,0,8.21289,0.669056,0,-0.0520888,0.0146644,0.785164,1.39067e-309,0,0,0
2024,01,14,15,15,11,869,0.620993,0,8.21515,0.666537,0,-0.0522989,0.0147215,0.785129,1.39067e-309,0,0,0
2024,01,14,15,15,11,889,0.641001,0,8.21755,0.663662,0,-0.0516576,0.0138288,0.785135,1.39067e-309,0,0,0
2024,01,14,15,15,11,909,0.661005,0,8.22008,0.66193,0,-0.0507133,0.0125744,0.785132,1.39067e-309,0,0,0
2024,01,14,15,15,11,929,0.680999,0,8.22262,0.658853,0,-0.0499323,0.0113722,0.785041,1.39067e-309,0,0,0
2024,01,14,15,15,11,949,0.700992,0,8.22433,0.657332,0,-0.0489532,0.0103805,0.785037,1.39067e-309,0,0,0
2024,01,14,15,15,11,969,0.721023,0,8.22624,0.655461,0,-0.048034,0.00975368,0.785309,1.39067e-309,0,0,0
2024,01,14,15,15,11,990,0.741041,0,8.22865,0.653644,0,-0.0471447,0.00871358,0.784981,1.39067e-309,0,0,0
2024,01,14,15,15,12,009,0.760987,0,8.23127,0.651125,0,-0.0465259,0.00812793,0.78495,1.39067e-309,0,0,0
2024,01,14,15,15,12,029,0.781,0,8.23415,0.649293,0,-0.0456236,0.00725671,0.78497,1.39067e-309,0,0,0
