Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z
2023,11,02,17,34,36,226,2.81334e-05,0,0,-0.614442,0.244448,0.14788,-0.229183,1.48969,273.301,0,0,0
2023,11,02,17,34,36,227,0.00108552,0,0,-0.513338,0.304653,0.13364,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,247,0.021163,0,0,-0.513338,0.304653,0.13364,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,267,0.0411737,0,0,-0.488025,0.293227,0.13626,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,287,0.0611496,0,0,-0.488025,0.293227,0.13626,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,307,0.0811577,0,0,-0.488025,0.293227,0.13626,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,327,0.101144,0,0,-0.475283,0.302755,0.13392,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,347,0.121152,0,0,-0.475283,0.302755,0.13392,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,367,0.141168,0,0,-0.460045,0.335914,0.14328,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,387,0.161163,0,0,-0.460045,0.335914,0.14328,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,407,0.181155,0,0,-0.435074,0.369793,0.14486,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,427,0.20116,0,0,-0.424199,0.393589,0.14438,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,447,0.221149,0,0,-0.435887,0.348119,0.14688,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,467,0.24116,0,0,-0.435887,0.348119,0.14688,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,487,0.261152,0,0,-0.461712,0.323633,0.14952,-0.286479,1.48969,273.129,0,0,0
2023,11,02,17,34,36,507,0.281158,0,0,-0.461712,0.323633,0.14952,-0.286479,1.48969,273.129,0,0,0
