Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,stateTime,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,08,13,18,17,318,1.26362e-05,0,0,6.38962e-05,11.7135,13.1882,0.00541649,0.171887,-0.114592,170.398,0,0,0,1.39066e-309
2023,12,08,13,18,17,318,0.000472784,0,0,0.000507116,11.6975,13.1785,0.00541945,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,338,0.0205345,0,0,0.0206099,11.6975,13.1785,0.00541945,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,358,0.0405366,0,0,0.0406179,11.6978,13.1775,0.00536395,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,378,0.0605347,0,0,0.0606067,11.6978,13.1775,0.00536395,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,398,0.0805402,0,0,0.0807681,11.6978,13.1775,0.00536395,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,418,0.10053,0,0,0.100608,11.6961,13.1894,0.0053314,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,438,0.120609,0,0,0.120679,11.6921,13.1898,0.00531089,0.286479,-0.229183,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,458,0.140545,0,0,0.140685,11.6921,13.1898,0.00531089,0.229183,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,478,0.160536,0,0,0.160603,11.6997,13.1816,0.00537101,0.229183,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,498,0.180535,0,0,0.180679,11.6997,13.1816,0.00537101,0.229183,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,518,0.200528,0,0,0.200605,11.6997,13.1816,0.00537101,0.229183,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,538,0.220532,0,0,0.220626,11.6974,13.1844,0.00536308,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,558,0.240532,0,0,0.240615,11.6974,13.1844,0.00536308,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,578,0.260555,0,0,0.260653,11.6995,13.1819,0.00536359,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,598,0.280553,0,0,0.280724,11.6995,13.1819,0.00536359,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,618,0.30055,0,0,0.300785,11.6951,13.192,0.00534888,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,639,0.320545,0,0,0.321611,11.6951,13.192,0.00534888,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,658,0.340553,0,0,0.340678,11.6982,13.1825,0.00537333,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,680,0.360637,0,0,0.3613,11.6982,13.1825,0.00537333,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,698,0.38054,0,0,0.380675,11.6982,13.1825,0.00537333,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,718,0.400634,0,0,0.400714,11.7032,13.1818,0.00543498,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,738,0.420533,0,0,0.420617,11.7062,13.1821,0.00543098,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,758,0.440539,0,0,0.44062,11.7062,13.1821,0.00543098,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,778,0.460537,0,0,0.46061,11.7062,13.1821,0.00543098,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,799,0.481039,0,0,0.481118,11.7035,13.1857,0.00541926,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,818,0.500535,0,0,0.500635,11.7035,13.1857,0.00541926,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,839,0.520905,0,0,0.520986,11.7013,13.1786,0.00543427,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,858,0.540535,0,0,0.540641,11.7013,13.1786,0.00543427,0.286479,-0.171887,170.054,0,0,0,1.39066e-309
2023,12,08,13,18,17,878,0.560705,0,0,0.560813,11.7011,13.1763,0.00541567,0.229183,-0.171887,170.054,0,0,0,1.39066e-309
