Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,pos.x,pos.y,pos.z,eulerAngle.x,eulerAngle.y,eulerAngle.z,trackTime,desiredPoint.x,desiredPoint.y,desiredPoint.z
2023,10,02,13,52,20,555,1.0252e-05,0,-2.11123,-1.40566,1.0977,-0.0517877,8.5522e-05,2.63397,1.39067e-309,0,0,0
2023,10,02,13,52,20,555,0.000391245,0,-2.11123,-1.40566,1.0977,-0.0517877,8.5522e-05,2.63397,1.39067e-309,0,0,0
2023,10,02,13,52,20,576,0.0205176,0,-2.11123,-1.40566,1.0977,-0.0517877,8.5522e-05,2.63397,1.39067e-309,0,0,0
2023,10,02,13,52,20,595,0.0404527,0,-2.10939,-1.4063,1.11156,-0.0537164,0.0014279,2.63409,1.39067e-309,0,0,0
2023,10,02,13,52,20,619,0.0637145,0,-2.1127,-1.40907,1.11156,-0.055693,0.00266579,2.63372,1.39067e-309,0,0,0
2023,10,02,13,52,20,636,0.080461,0,-2.1127,-1.40907,1.11156,-0.0575462,0.00395938,2.63409,1.39067e-309,0,0,0
2023,10,02,13,52,20,656,0.100459,0,-2.12565,-1.41069,1.13898,-0.0581909,0.00496355,2.63453,1.39067e-309,0,0,0
2023,10,02,13,52,20,676,0.120838,0,-2.12565,-1.41069,1.13898,-0.0553728,0.00550058,2.63541,1.39067e-309,0,0,0
2023,10,02,13,52,20,696,0.140471,0,-2.13244,-1.41243,1.17454,-0.0502545,0.00560102,2.63575,1.39067e-309,0,0,0
2023,10,02,13,52,20,716,0.160465,0,-2.13244,-1.41243,1.17454,-0.0451267,0.00544718,2.63602,1.39067e-309,0,0,0
2023,10,02,13,52,20,736,0.180497,0,-2.11784,-1.41766,1.18526,-0.0418486,0.00533517,2.63634,1.39067e-309,0,0,0
2023,10,02,13,52,20,755,0.200449,0,-2.11784,-1.41766,1.18526,-0.0404668,0.00520452,2.63687,1.39067e-309,0,0,0
2023,10,02,13,52,20,776,0.220654,0,-2.11784,-1.41766,1.18526,-0.0397913,0.00525869,2.63787,1.39067e-309,0,0,0
2023,10,02,13,52,20,796,0.24051,0,-2.10383,-1.42412,1.20194,-0.039659,0.00533669,2.63865,1.39067e-309,0,0,0
2023,10,02,13,52,20,816,0.260454,0,-2.10383,-1.42412,1.20194,-0.0398457,0.00516798,2.63969,1.39067e-309,0,0,0
2023,10,02,13,52,20,837,0.280478,0,-2.09353,-1.40808,1.22046,-0.0397426,0.0053378,2.64062,1.39067e-309,0,0,0
2023,10,02,13,52,20,856,0.300456,0,-2.09353,-1.40808,1.22046,-0.0382165,0.00598975,2.64156,1.39067e-309,0,0,0
2023,10,02,13,52,20,876,0.320518,0,-2.10305,-1.38497,1.23138,-0.0363461,0.00641686,2.64193,1.39067e-309,0,0,0
2023,10,02,13,52,20,898,0.34079,0,-2.09947,-1.37282,1.23448,-0.0352183,0.00615815,2.6421,1.39067e-309,0,0,0
2023,10,02,13,52,20,916,0.360521,0,-2.09733,-1.36875,1.23716,-0.0351864,0.00533926,2.64266,1.39067e-309,0,0,0
2023,10,02,13,52,20,936,0.380453,0,-2.09733,-1.36875,1.23716,-0.0356283,0.00500555,2.64346,1.39067e-309,0,0,0
2023,10,02,13,52,20,956,0.400434,0,-2.09354,-1.36084,1.24272,-0.0364113,0.00328515,2.64462,1.39067e-309,0,0,0
2023,10,02,13,52,20,978,0.423018,0,-2.09354,-1.36084,1.24272,-0.0363116,0.00187338,2.64484,1.39067e-309,0,0,0
2023,10,02,13,52,20,996,0.440453,0,-2.09726,-1.36024,1.2462,-0.0365481,0.000289706,2.6454,1.39067e-309,0,0,0
2023,10,02,13,52,21,016,0.4607,0,-2.09726,-1.36024,1.2462,-0.0369759,-0.00104223,2.64669,1.39067e-309,0,0,0
2023,10,02,13,52,21,038,0.480457,0,-2.09867,-1.3694,1.25158,-0.0372817,-0.00237969,2.64717,1.39067e-309,0,0,0
2023,10,02,13,52,21,056,0.500453,0,-2.09867,-1.3694,1.25158,-0.0376435,-0.00370098,2.64744,1.39067e-309,0,0,0
2023,10,02,13,52,21,076,0.520452,0,-2.10627,-1.36913,1.25826,-0.0379229,-0.0048459,2.64802,1.39067e-309,0,0,0
2023,10,02,13,52,21,096,0.540455,0,-2.10627,-1.36913,1.25826,-0.0381177,-0.00577511,2.64869,1.39067e-309,0,0,0
2023,10,02,13,52,21,116,0.560456,0,-2.10627,-1.36913,1.25826,-0.0381609,-0.00617844,2.64907,1.39067e-309,0,0,0
2023,10,02,13,52,21,136,0.580454,0,-2.11625,-1.35507,1.26404,-0.0374387,-0.00657982,2.6495,1.39067e-309,0,0,0
2023,10,02,13,52,21,156,0.600513,0,-2.11625,-1.35507,1.26404,-0.036528,-0.00697302,2.65026,1.39067e-309,0,0,0
2023,10,02,13,52,21,186,0.620455,0,-2.11545,-1.35707,1.27844,-0.0355215,-0.00727112,2.65058,1.39067e-309,0,0,0
2023,10,02,13,52,21,195,0.640448,0,-2.11545,-1.35707,1.27844,-0.0337294,-0.00713532,2.6512,1.39067e-309,0,0,0
2023,10,02,13,52,21,216,0.660461,0,-2.12991,-1.36276,1.2898,-0.0332109,-0.00700147,2.65117,1.39067e-309,0,0,0
2023,10,02,13,52,21,236,0.680456,0,-2.14399,-1.36868,1.29708,-0.0326629,-0.00646294,2.65159,1.39067e-309,0,0,0
2023,10,02,13,52,21,256,0.700461,0,-2.15083,-1.35687,1.30482,-0.031965,-0.00602356,2.65165,1.39067e-309,0,0,0
2023,10,02,13,52,21,276,0.720516,0,-2.15083,-1.35687,1.30482,-0.0315823,-0.00541966,2.65218,1.39067e-309,0,0,0
2023,10,02,13,52,21,296,0.740458,0,-2.14933,-1.34998,1.32222,-0.0314309,-0.00462682,2.65258,1.39067e-309,0,0,0
2023,10,02,13,52,21,316,0.760596,0,-2.14933,-1.34998,1.32222,-0.0312433,-0.00372318,2.65237,1.39067e-309,0,0,0
2023,10,02,13,52,21,336,0.780477,0,-2.14584,-1.33903,1.34366,-0.0310916,-0.00315844,2.65217,1.39067e-309,0,0,0
2023,10,02,13,52,21,356,0.800454,0,-2.14584,-1.33903,1.34366,-0.0313569,-0.00224788,2.6525,1.39067e-309,0,0,0
2023,10,02,13,52,21,376,0.820453,0,-2.16433,-1.33414,1.36906,-0.0317258,-0.00132601,2.65236,1.39067e-309,0,0,0
2023,10,02,13,52,21,396,0.840455,0,-2.16433,-1.33414,1.36906,-0.0320712,-0.000914618,2.65217,1.39067e-309,0,0,0
2023,10,02,13,52,21,416,0.860456,0,-2.16433,-1.33414,1.36906,-0.0324777,-0.000225091,2.65236,1.39067e-309,0,0,0
2023,10,02,13,52,21,436,0.880453,0,-2.16905,-1.32058,1.41262,-0.0327816,0.000217323,2.6521,1.39067e-309,0,0,0
2023,10,02,13,52,21,456,0.900537,0,-2.16905,-1.32058,1.41262,-0.0328376,0.00020007,2.65136,1.39067e-309,0,0,0
2023,10,02,13,52,21,476,0.920455,0,-2.17322,-1.32223,1.44558,-0.0329741,0.000316071,2.65109,1.39067e-309,0,0,0
2023,10,02,13,52,21,496,0.940451,0,-2.18681,-1.31748,1.4689,-0.0335159,0.000599229,2.65097,1.39067e-309,0,0,0
2023,10,02,13,52,21,516,0.960458,0,-2.19722,-1.3188,1.4897,-0.0343013,0.000799579,2.6505,1.39067e-309,0,0,0
2023,10,02,13,52,21,536,0.980461,0,-2.19722,-1.3188,1.4897,-0.0349954,0.000502081,2.64999,1.39067e-309,0,0,0
2023,10,02,13,52,21,556,1.00047,0,-2.19794,-1.30453,1.53338,-0.0356612,0.000645867,2.64985,1.39067e-309,0,0,0
2023,10,02,13,52,21,576,1.02049,0,-2.19794,-1.30453,1.53338,-0.0364508,0.0010163,2.64967,1.39067e-309,0,0,0
2023,10,02,13,52,21,595,1.04045,0,-2.18059,-1.31002,1.5805,-0.0368665,0.0010328,2.64864,1.39067e-309,0,0,0
2023,10,02,13,52,21,616,1.06053,0,-2.18059,-1.31002,1.5805,-0.0371885,0.00085702,2.64804,1.39067e-309,0,0,0
2023,10,02,13,52,21,636,1.08046,0,-2.17838,-1.30877,1.6302,-0.0373794,0.00122885,2.64782,1.39067e-309,0,0,0
2023,10,02,13,52,21,656,1.10061,0,-2.17838,-1.30877,1.6302,-0.0374127,0.00201008,2.64753,1.39067e-309,0,0,0
2023,10,02,13,52,21,676,1.12046,0,-2.18343,-1.30965,1.68316,-0.037404,0.00243535,2.64686,1.39067e-309,0,0,0
2023,10,02,13,52,21,696,1.14062,0,-2.18343,-1.30965,1.68316,-0.0372198,0.0025776,2.64627,1.39067e-309,0,0,0
2023,10,02,13,52,21,719,1.16355,0,-2.18343,-1.30965,1.68316,-0.0372283,0.0030404,2.64617,1.39067e-309,0,0,0
2023,10,02,13,52,21,736,1.18053,0,-2.17053,-1.30123,1.74036,-0.0372945,0.00360919,2.64613,1.39067e-309,0,0,0
2023,10,02,13,52,21,756,1.20045,0,-2.17053,-1.30123,1.74036,-0.0373572,0.00409906,2.64567,1.39067e-309,0,0,0
2023,10,02,13,52,21,776,1.22046,0,-2.165,-1.28524,1.82328,-0.0371017,0.00412158,2.64491,1.39067e-309,0,0,0
2023,10,02,13,52,21,796,1.24125,0,-2.165,-1.28524,1.82328,-0.0365427,0.00430367,2.64444,1.39067e-309,0,0,0
2023,10,02,13,52,21,816,1.26046,0,-2.15589,-1.2992,1.87868,-0.0359115,0.00441476,2.64405,1.39067e-309,0,0,0
2023,10,02,13,52,21,836,1.28052,0,-2.15714,-1.29402,1.9072,-0.0354374,0.00439619,2.64385,1.39067e-309,0,0,0
2023,10,02,13,52,21,856,1.30066,0,-2.16348,-1.29202,1.93624,-0.0347715,0.00447146,2.64318,1.39067e-309,0,0,0
