Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,pos.x,pos.y,pos.z,eulerAngle.x,eulerAngle.y,eulerAngle.z,trackTime,desiredPoint.x,desiredPoint.y,desiredPoint.z
2023,10,06,11,20,55,331,9.05991e-06,0,-2.36182,-1.49464,0.2176,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,331,0.00053525,0,-2.36159,-1.49425,0.21724,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,352,0.020602,0,-2.36159,-1.49425,0.21724,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,372,0.0405951,0,-2.36159,-1.49425,0.21724,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,392,0.0606019,0,-2.36159,-1.49423,0.21814,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,412,0.080601,0,-2.36159,-1.49423,0.21814,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,432,0.100593,0,-2.36159,-1.49423,0.21814,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,452,0.1206,0,-2.36162,-1.49424,0.219,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,472,0.140657,0,-2.36162,-1.49424,0.219,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,492,0.160601,0,-2.36161,-1.49425,0.21892,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,514,0.180601,0,-2.36161,-1.49425,0.21946,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,532,0.200597,0,-2.36162,-1.49426,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,552,0.220606,0,-2.36162,-1.49426,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,572,0.240602,0,-2.36161,-1.49422,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,592,0.260601,0,-2.36161,-1.49422,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,612,0.280602,0,-2.36159,-1.49419,0.21902,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,632,0.300799,0,-2.36159,-1.49419,0.21902,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,653,0.320606,0,-2.36159,-1.49421,0.21742,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,672,0.340596,0,-2.36159,-1.49421,0.21742,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,692,0.360686,0,-2.36161,-1.49418,0.21522,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,712,0.381072,0,-2.36161,-1.49418,0.21522,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,732,0.400599,0,-2.36161,-1.49418,0.21522,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,752,0.420614,0,-2.36158,-1.49414,0.21474,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,775,0.441959,0,-2.36158,-1.49414,0.21474,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,792,0.460606,0,-2.36158,-1.49415,0.21534,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,813,0.480615,0,-2.36158,-1.49415,0.21534,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,832,0.5006,0,-2.36163,-1.49418,0.21564,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,852,0.520601,0,-2.36167,-1.4942,0.21582,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,872,0.540601,0,-2.3616,-1.49419,0.21474,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,892,0.560769,0,-2.3616,-1.49419,0.21474,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,912,0.580603,0,-2.36162,-1.49416,0.2173,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,932,0.600617,0,-2.36162,-1.49416,0.2173,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,952,0.620601,0,-2.36159,-1.49417,0.21948,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,972,0.640598,0,-2.36159,-1.49417,0.21948,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,55,992,0.660604,0,-2.3616,-1.49422,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,012,0.680599,0,-2.3616,-1.49422,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,032,0.700608,0,-2.3616,-1.49422,0.2195,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,052,0.720615,0,-2.36163,-1.49422,0.21824,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,072,0.7406,0,-2.36163,-1.49422,0.21824,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,092,0.760612,0,-2.36161,-1.49421,0.2176,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,112,0.780606,0,-2.36161,-1.49421,0.2176,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,132,0.80061,0,-2.36161,-1.49419,0.21822,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,152,0.820602,0,-2.36164,-1.49418,0.21794,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,172,0.840602,0,-2.36165,-1.49419,0.21762,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,192,0.860599,0,-2.36165,-1.49419,0.21762,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,212,0.880642,0,-2.36165,-1.49425,0.21836,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,232,0.900603,0,-2.36165,-1.49425,0.21836,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,252,0.920603,0,-2.36169,-1.49422,0.2189,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,272,0.94068,0,-2.36169,-1.49422,0.2189,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,294,0.961581,0,-2.3617,-1.49419,0.21748,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,312,0.980597,0,-2.3617,-1.49419,0.21748,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,332,1.00064,0,-2.3617,-1.49424,0.21824,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,352,1.02115,0,-2.3617,-1.49424,0.21824,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,372,1.0406,0,-2.3617,-1.49424,0.21824,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,392,1.0606,0,-2.36168,-1.4942,0.21866,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,412,1.0806,0,-2.36168,-1.4942,0.21866,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,432,1.10061,0,-2.36162,-1.49415,0.21854,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,452,1.1206,0,-2.36162,-1.49415,0.21854,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,472,1.1407,0,-2.36158,-1.49411,0.21772,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,492,1.16061,0,-2.36159,-1.49408,0.21712,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,512,1.1806,0,-2.3616,-1.49407,0.2164,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,532,1.20061,0,-2.3616,-1.49407,0.2164,0,0,0,1.39067e-309,0,0,0
2023,10,06,11,20,56,552,1.2206,0,-2.36158,-1.49407,0.21764,0,0,0,1.39067e-309,0,0,0
