Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,07,16,39,41,828,0.720552,0,0,10.459,9.56356,0.00569383,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,848,0.74055,0,0,10.459,9.56356,0.00569383,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,868,0.760553,0,0,10.4657,9.57202,0.00576426,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,888,0.780559,0,0,10.4657,9.57202,0.00576426,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,907,0.80054,0,0,10.4682,9.58074,0.00575784,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,927,0.820541,0,0,10.4682,9.58074,0.00575784,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,947,0.840556,0,0,10.4619,9.58265,0.00570316,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,968,0.860554,0,0,10.4619,9.58265,0.00570316,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,41,987,0.880545,0,0,10.4619,9.58265,0.00570316,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,008,0.900548,0,0,10.4595,9.59103,0.00568885,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,027,0.920542,0,0,10.4595,9.59103,0.00568885,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,048,0.940546,0,0,10.4621,9.58925,0.00563351,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,067,0.960544,0,0,10.4636,9.5805,0.00558472,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,087,0.980539,0,0,10.4636,9.5805,0.00558472,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,107,1.00054,0,0,10.4636,9.5805,0.00558472,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,127,1.02054,0,0,10.4603,9.57295,0.0055625,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,147,1.04054,0,0,10.4603,9.57295,0.0055625,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,167,1.06054,0,0,10.468,9.58373,0.00558841,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,188,1.08055,0,0,10.468,9.58373,0.00558841,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,207,1.10055,0,0,10.4625,9.57237,0.00560551,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,227,1.12054,0,0,10.4625,9.57237,0.00560551,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,247,1.14054,0,0,10.4833,9.57935,0.00566242,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,267,1.16054,0,0,10.4833,9.57935,0.00566242,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,287,1.18055,0,0,10.4833,9.57935,0.00566242,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,308,1.20055,0,0,10.4819,9.57585,0.00574413,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,328,1.22056,0,0,10.4819,9.57585,0.00574413,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,347,1.24055,0,0,10.4811,9.56105,0.00574196,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,368,1.26054,0,0,10.4795,9.55569,0.00575301,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,387,1.28055,0,0,10.4795,9.55569,0.00575301,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
