Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,stateTime,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,11,15,56,56,929,1.43051e-05,0,0,7.34329e-05,7.90865,17.8896,0.00100318,0.114592,0.802141,171.715,0,0,0,1.39067e-309
2023,12,11,15,56,56,930,0.000495195,0,0,0.00053668,7.64127,17.9687,-0.000329702,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,56,950,0.020556,0,0,0.0206156,7.64127,17.9687,-0.000329702,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,56,970,0.0405645,0,0,0.0406406,7.72365,17.951,-3.07055e-05,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,56,990,0.0605562,0,0,0.060617,7.72365,17.951,-3.07055e-05,0,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,010,0.0805633,0,0,0.080652,7.75775,17.9459,8.49723e-05,0,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,030,0.100561,0,0,0.100629,7.73629,17.9493,-4.37328e-05,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,050,0.120569,0,0,0.120675,7.74672,17.9532,5.84019e-05,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,070,0.140591,0,0,0.140663,7.74672,17.9532,5.84019e-05,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,090,0.160559,0,0,0.160634,7.81706,17.9292,0.000446554,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,110,0.180558,0,0,0.180629,7.81706,17.9292,0.000446554,0,0.916733,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,130,0.200562,0,0,0.200634,7.83769,17.8901,0.000877327,0,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,150,0.220555,0,0,0.220618,7.83769,17.8901,0.000877327,0,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,170,0.240568,0,0,0.240654,7.85257,17.8806,0.000890255,0.0572958,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,190,0.260538,0,0,0.260637,7.85257,17.8806,0.000890255,0.0572958,0.974028,171.945,0,0,0,1.39067e-309
2023,12,11,15,56,57,210,0.280561,0,0,0.280627,7.85257,17.8806,0.000890255,0.0572958,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,230,0.300558,0,0,0.300647,7.93446,17.8715,0.00122089,0.0572958,0.916733,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,250,0.320563,0,0,0.320636,7.93446,17.8715,0.00122089,0.0572958,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,270,0.340556,0,0,0.340619,7.99542,17.864,0.00146425,0.0572958,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,290,0.360569,0,0,0.360695,7.95509,17.8824,0.00129297,0.0572958,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,310,0.380558,0,0,0.380628,7.92923,17.8813,0.00115003,0.0572958,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,330,0.400568,0,0,0.400708,7.92923,17.8813,0.00115003,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,350,0.420557,0,0,0.420629,7.93734,17.8999,0.00113968,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,370,0.440562,0,0,0.440634,7.93734,17.8999,0.00113968,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,390,0.460559,0,0,0.460619,7.98087,17.8723,0.00135376,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,410,0.480557,0,0,0.480632,7.98087,17.8723,0.00135376,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,430,0.500555,0,0,0.500611,8.00201,17.8655,0.00147814,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,450,0.52056,0,0,0.520646,8.00201,17.8655,0.00147814,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,470,0.540562,0,0,0.540613,8.00201,17.8655,0.00147814,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,490,0.560556,0,0,0.560627,8.02125,17.8611,0.0016405,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,510,0.580561,0,0,0.580633,8.02125,17.8611,0.0016405,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,530,0.600557,0,0,0.600625,7.94271,17.894,0.00125252,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,550,0.620555,0,0,0.620623,7.94893,17.8937,0.00130116,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,570,0.640559,0,0,0.64062,7.94973,17.8928,0.00130193,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,590,0.660553,0,0,0.660614,7.94973,17.8928,0.00130193,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,610,0.68056,0,0,0.680631,7.93618,17.8878,0.00117306,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,630,0.700557,0,0,0.700625,7.93618,17.8878,0.00117306,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,650,0.720574,0,0,0.72079,7.92324,17.8847,0.00113226,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,670,0.740559,0,0,0.740621,7.92324,17.8847,0.00113226,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,690,0.76066,0,0,0.760743,7.94916,17.8727,0.00123807,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,710,0.78056,0,0,0.78062,7.94916,17.8727,0.00123807,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,730,0.800559,0,0,0.800638,7.97796,17.8612,0.00135592,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,750,0.820559,0,0,0.820726,7.97796,17.8612,0.00135592,0,0.916733,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,770,0.840564,0,0,0.840649,7.97796,17.8612,0.00135592,0,0.916733,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,790,0.860558,0,0,0.860615,7.85396,17.8938,0.000697815,0,0.974028,171.887,0,0,0,1.39067e-309
2023,12,11,15,56,57,810,0.880561,0,0,0.880635,7.85396,17.8938,0.000697815,0,0.916733,171.83,0,0,0,1.39067e-309
